               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1034,            0.028372,            0.039539,           0.0029097,             0.34303,            0.014499,           0.0040216,            0.056742,            0.022498,            0.027217,              0.0883,              0.0013,              0.0013
                   1,            0.082381,            0.027166,            0.033168,             0.10266,            0.087745,             0.07093,            0.022365,            0.049726,            0.018334,              0.0236,            0.075673,           0.0026733,           0.0026733
                   2,            0.071554,            0.026095,            0.032126,             0.35838,             0.10794,              0.2709,            0.087273,             0.04153,            0.015851,            0.020652,            0.063019,           0.0040188,           0.0040188
                   3,            0.057028,            0.023009,            0.030983,             0.40471,             0.47148,             0.42688,             0.14169,            0.041356,            0.013282,             0.01627,            0.050337,           0.0053367,           0.0053367
                   4,            0.053232,            0.020294,            0.022763,              0.3987,             0.48401,             0.39534,             0.16275,            0.041106,              0.0113,            0.013797,            0.037627,           0.0066268,           0.0066268
                   5,            0.055682,            0.019226,            0.028019,             0.25784,             0.47402,             0.29545,              0.1162,            0.039277,            0.010004,            0.014416,            0.024889,           0.0078891,           0.0078891
                   6,            0.057501,            0.018946,            0.027997,              0.3171,             0.52259,             0.36635,             0.12452,            0.035312,            0.010123,            0.014353,            0.012124,           0.0091238,           0.0091238
                   7,            0.050405,            0.018626,             0.02175,              0.2956,             0.39439,             0.29598,             0.11655,            0.049146,            0.010199,           0.0084018,            0.009307,            0.009307,            0.009307
                   8,            0.058001,            0.017325,            0.021172,             0.34646,             0.41738,             0.30124,             0.11744,             0.04023,            0.010571,            0.010791,            0.009307,            0.009307,            0.009307
                   9,            0.055769,            0.017197,            0.023466,              0.3291,             0.30253,              0.3178,             0.10422,            0.042936,            0.010789,            0.014263,            0.009208,            0.009208,            0.009208
                  10,            0.048401,            0.016445,            0.020147,             0.32744,             0.48836,              0.3878,             0.11278,            0.048186,            0.010156,            0.010407,            0.009109,            0.009109,            0.009109
                  11,            0.057865,             0.01663,            0.025318,             0.37711,             0.48574,             0.43416,             0.16913,            0.042081,           0.0099825,             0.01204,             0.00901,             0.00901,             0.00901
                  12,            0.049755,            0.015947,             0.01803,             0.52172,             0.62656,             0.61029,             0.27384,             0.03473,            0.010767,           0.0090471,            0.008911,            0.008911,            0.008911
                  13,            0.041051,            0.015822,            0.017393,             0.68036,             0.63764,             0.70145,             0.32851,            0.033836,           0.0099987,           0.0058138,            0.008812,            0.008812,            0.008812
                  14,            0.052053,            0.015903,            0.021057,             0.65819,             0.60239,             0.64608,             0.28398,            0.028791,              0.0113,           0.0071641,            0.008713,            0.008713,            0.008713
                  15,            0.043656,            0.014954,            0.018075,             0.42715,             0.32806,             0.28017,            0.098864,             0.03937,            0.016891,            0.015987,            0.008614,            0.008614,            0.008614
                  16,            0.048924,             0.01612,            0.019064,             0.40454,             0.24605,             0.14456,             0.05342,            0.041622,            0.015167,            0.018966,            0.008515,            0.008515,            0.008515
